Broker names,broker filer code,addresses,phones
MALLORY ALEXANDER INTERNATIONAL LOGISTICS LLC,HK8,"101 FRONTIER WAY
BENSENVILLE, IL 60106
United States ",+1 630-477-2490          
LIVINGSTON INTERNATIONAL INC,300,"800 WEST MAPLE LANE
BENSENVILLE, IL 60106
United States ",+1 630-766-0202          
LOREN WHEELER,FR9,"1 NORTH 326 FARWELL STREET
CAROL STREET, IL 60188
United States ",+1 630-933-8045          
LEONARD A PAWELCZYK DBA DESTINY INTERNATIONAL,DA6,"21370 GINGER LANE
FRANKFORT, IL 60423
United States ",+1 815-464-4250          
LUCIA M LENTZ CHB INC,KT9,"2252 A LANDMEIRE ROAD
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-437-4680          
MARY R GRIMSHAW,KV4,"2484 EAST OAKTON AVENUE
ARLINGTON HTS., IL 60005
United States ",+1 847-758-1782          
MARUBENI TRANSPORT SERVICE CORP,AJ6,"1200 ARLINGTON HEIGHTS ROAD
SUITE 420
ITASCA, IL 60143
United States ",+1 630-773-5700          
MASTERPIECE INTERNATIONAL LTD,D52,"2300 HIGGINS ROAD
SUITE 301
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-806-9595          
MAINFREIGHT INTERNATIONAL INC,E7A,"123 SIEVERT COURT
BENSENVILLE, IL 60106
United States ",+1 630-496-7400          
LE COPPERSMITH INC,224,"760 BONNIE LANE
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-437-1500          
MERIT-ELIZABETH TREMPER,FN4,"840 GERALD AVENUE
SOUTH ELIGIN, IL 60177
United States ",+1 847-899-4131          
MICHAEL H STEWART,NH5,"1425 LOUIS AVENUE
SUITE 102
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-427-3071          
MICHAEL J OHLSON DBA OHLSON INTL LOGISTICS,HS4,"523 THOMAS DRIVE
BENSENVILLE, IL 60106
United States ",+1 630-238-7200          
MID-AMERICA OVERSEAS INC,267,"1151 NORTH WOOD DALE ROAD
WOOD DALE, IL 60191
United States ",+1 630-766-5655          
MEIKO AMERICA INC,G26,"888 AEC DRIVE
WOOD DALE, IL 60191
United States ",+1 630-766-1492          
MATTHEW J GOLD,BSX,"899 SOUTH PLYMOUTH COURT
SUITE 909
CHICAGO, IL 60605
United States ",+1 312-427-7067          
MKC CUSTOMS BROKERS INTL INC,040,"9950 WEST LAWRENCE AVENUE
SUITE 307
SCHILLER PARK, IL 60176
United States ",+1 847-671-4998          
MIQ GLOBAL LLC DBA MIQ LOGISTICS,988,"1391 WOOD DALE ROAD
WOOD DALE, IL 60192
United States ",+1 630-787-9100          
ME DEY & CO INC,420,"ONE PIERCE PL
STE 350W
ITASCA, IL 60143
United States ",+1 630-787-0717          
MET LOGISTICS CHB LLC,BLD,"333 PIERCE ROAD
SUITE 150 B
ITASCA, IL 60143
United States ",+1 630-735-0145          
NISSIN INTERNATIONAL TRANSPORT USA INC,K64,"900 THORNDALE AVENUE
ELK GROVE VILLAGE, IL 60007
United States ",+1 630-616-4020          
MOON SO DBA KUSTO BROKERAGE SERVICES,N30,"2268 D LANDMEIR ROAD
ELK GROVE, IL 60007
United States ",+1 847-427-0338          
NEW CENTURY INTERNATIONAL INC,AN5,"1495 BRUMMEL AVENUE
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-439-8250          
MORRISON EXPRESS CORPORATION (USA),BJU,"100 DIVISION STREET
SUITE 105
BENSENVILLE, IL 60106
United States ",+1 630-860-3200          
MULTIMODAL INTL LTD,503,"2100 EAST DEVON AVENUE
SUITE 102
ELK GROVE, IL 60007
United States ",+1 847-690-1300          
MP CUSTOMS BROKERS INC,9TE,"556 SEQUOIA TRAIL
ROSELLE, IL 60172
United States ",+1 847-944-8044          
MOL LOGISTICS USA INC,ATK,"2180 SOUTH WOLF ROAD
DES PLAINES, IL 60018
United States ",+1 847-298-0759          
NANKAI TRANSPORT INTERNATIONAL USA INC,DS8,"1513 CARMEN DRIVE
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-427-0370          
NIPPON EXPRESS USA INC,510,"401 EAST TOUHY AVENUE
DES PLAINES, IL 60018
United States ",+1 847-460-7000          
MOWHAWK GLOBAL LOGISTICS CORP DBA MOWHAWK GLOBAL LOGISTICS,DE6,"150 PIERCE ROAD
SUITE 120
ITASCA, IL 60143
United States ",+1 630-994-3030          
PIONEER LOGISTICS INC,677,"2300 EAST HIGGINS ROAD
SUITE 202
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-718-1956          
NORTHSTAR DRAWBACK CONSULTANTS LTD,HE2,"1944 CHELENHAM COURT
SCHAUMBURG, IL 60194
United States ",+1 847-452-4496          
NNR GLOBAL LOGISTICS USA INC,U35,"345 RICHERT ROAD
WOOD DALE, IL 60191
United States ",+1 630-860-6999          
PAUL J FINNEGAN,WG8,"502 EAST HARDING
LAGRANGE PARK, IL 60525
United States ",+1 708-482-8049          
OEC LOGISTICS INC,ACN,"555 PIERCE ROAD
SUITE 210
ITASCA, IL 60143
United States ",+1 630-625-7900          
PEACE INTERNATIONAL CORP,F77,"7831 FOSTER AVENUE
BENSENVILLE, IL 60106
United States ",+1 630-350-7660          
PETER WITTWER NORTH AMERICA INC SA,ALB,"760 MCARDLE DRIVE
SUITE A
CRYSTAL LAKE, IL 60014
United States ",+1 815-479-8917          
PANALPINA INC,554,"800 EAST DEVON AVENUE
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-545-1500          
ORMSBY INTERNATIONAL CHB INC,BXY,"765 ROUTE 83
SUITE 120
BENSENVILLE, IL 60106
United States ",+1 630-860-2280          
NORTH STAR WORLD TRADE SERVICES INC,691,"1360 NORTH WOOD DALE ROAD
SUITE E
WOOD DALE, IL 60191
United States ",+1 630-596-9122          
RICHARD A HACKBARTH,BSA,"115 NORTH MAIN STREET
ALGONQUIN, IL 60102
United States ",+1 847-592-5812          
RADIX GROUP INTERNATIONAL INC DBA DHL GLOBAL FORWARDING,336,"10601 A SEYMOUR AVENUE
FRANKLIN PARK, IL 60131
United States ",+1 847-233-5727          
RICHARD ORMSBY,F04,"765 ROUTE 83
SUITE 120
BENSENVILLE, IL 60106
United States ",+1 630-860-2280          
RAM INTERNATIONAL INC,GE2,"1650 CARMEN DRIVE
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-439-0300          
RF INTERNATIONAL LTD,JG6,"300 PARK BOULEVARD
SUITE 155
ITASCA, IL 60143
United States ",+1 630-773-1118          
QUALITY CUSTOMS BROKER INC,D68,"615 NORTH EDGEWOOD AVENUE
WOOD DALE, IL 60191
United States ",+1 630-766-9447          
R S EXPRESS INC,484,"1330 MARK STREET
ELK GROVE VILLAGE, IL 60007
United States ",+1 630-350-9111          
RENEE B PREDKI,BQD,"1424 STEEPLECHASE ROAD
BARTLETT, IL 60103
United States ",+1 630-483-6877          
QUAD CITY PORT SERVICES INC,U31,"1634 STATE STREET
BETTENDORF, IA 52722
United States ",+1 563-355-0991          
PRO LOGISTICS INC,JE1,"1500 MIDWAY COURT
SUITE WEST 9
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-690-0321          
ROBERT R TARTE,E45,"24 SOUTH ADDISON STREET
BENSENVILLE, IL 60106
United States ",+1 630-306-6788          
ROBERT J SLAPINSKI,EN5,"2268 LANDMEIER ROAD
UNIT C08
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-427-8250          
ROGERS WORLDWIDE IMPORT SERVICES DBA ROCK-IT CARGO IMPORT SERVICES,BQR,"1550 EAST HIGGINS ROAD
SUITE 106
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-806-9200          
RIM LOGISTICS LTD,JJ8,"200 GARY AVE
SUITE B
ROSELLE, IL 60172
United States ",+1 630-595-0610          
RONALD A TUCCI JR,ND2,"17 5 WILLOWBRIDGE WAY
BLOOMINGDALE, IL 60108
United States ",+1 630-307-6326          
SAVINO DEL BENE USA INC,AVB,"1905 SOUTH MOUNT PROSPECT ROAD
DES PLAINES, IL 60018
United States ",+1 847-390-3600          
SAVITRANSPORT INC,WN5,"1500 MIDWAY COURT
SUITE W205 207
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-437-6660          
ROTRA BROKERAGE SERVICES INC,JL5,"841 SIVERT DRIVE
WOOD DALE, IL 60191
United States ",+1 630-766-8080          
SAVING SHIPPING & FRWRDNG USA INC,APB,"550 EAST DEVON AVENUE
SUITE 100
ITASCA, IL 60143
United States ",+1 630-773-0007          
RUSSELL A FARROW US INC,EI5,"10600 WEST HIGGINS ROAD
SUITE 516
ROSEMONT, IL 60018
United States ",+1 847-228-5575          
SKS CUSTOMS BROKERS INC,E74,"1550 HIGGINS ROAD
SUITE 104 105
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-427-9511          
SEAMODAL TRANSPORT CORP,701,"3158 DES PLAINES AVENUE
SUITE 201
DES PLAINES, IL 60018
United States ",+1 847-299-6170          
SENATOR INT'L FREIGHT FORWARDINGLLC,GR6,"1469 HAMILTON PARKWAY
ITASCA, IL 60143
United States ",+1 630-625-1001          
SCARBROUGH INTERNATIONAL LTD,581,"1350 MICHAEL DRIVE
SUITE C
WOOD DALE, IL 60191
United States ",+1 630-595-3400          
SCHMIDT PRITCHARD & CO INC,045,"9801 WEST LAWRENCE AVENUE
SCHILLER PARK, IL 60176
United States ",+1 847-671-5130          
SINGH UNIVERSAL NETWORKS INC,ED2,"810 EAGLE DRIVE
BENSENVILLE, IL 60106
United States ",+1 630-238-9320          
SERVICE SHIPPING INC,BFH,"845 OAKTON STREET
SUITE 100
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-427-1775          
SEKO CUSTOMS BROKERAGE INC,M34,"1100 ARLINGTON HEIGHTS ROAD
SUITE 600
ITASCA, IL 60145
United States ",+1 630-919-4800          
SCHENKER INC,322,"1800 NICHOLS BOULEVARD
ELK GROVE VILLAGE, IL 60007
United States ",+1 630-860-4858          
SERVICE WORLD CORP,G83,"650 NORTH EDGEWOOD AVENUE
WOODDALE, IL 60191
United States ",+1 630-616-0088          
TED L RAUSCH CO,607,"2300 HIGGINS STREET
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-427-0777          
THE JANEL GROUP OF ILLINOIS INC,845,"2567 GREENLEAF AVENUE
PO BOX 66589
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-956-1210          
TAS EXPRESS AMERICA INC,AV9,"2700 DELTA DRIVE
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-238-2600          
TIGERS USA GLOBAL LOGISTICS INC,MA7,"1300 THORNDALE AVENUE
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-860-8360          
THOMAS A BRUNNER,AWE,"800 PORT CLINTON COURT EAST
BUFFALO GROVE, IL 60089
United States ",+1 847-938-8605          
T H WEISS INC,F23,"9420 WEST FOSTER AVENUE
SUITE 210
CHICAGO, IL 60656
United States ",+1 773-992-1111          
TAC CUSTOMS BROKERS INC,BRX,"50 WEST OAKTON STREET
EAST WING
DES PLAINES, IL 60018
United States ",+1 630-350-0657          
SONG NAM CHUN DBA DELTA EXPRESS,AD3,"765 ROUTE 83
SUITE 122
BENSENVILLE, IL 60106
United States ",+1 630-238-0820          
TBI BROKERS INC,AVV,"325 NORTH HOUGH STREET
2ND FLR
BARRINGTON, IL 60010
United States ",+1 847-852-3106          
THOMAS J KRENZ,AFK,"2230 EAST COLLEGE AVENUE
CUDAHY, WI 53110
United States ",+1 414-570-3550          
UPS SUPPLY CHAIN SOLUTIONS INC,UPS,"490 SUPREME DRIVE
BENSENVILLE, IL 60106
United States ",+1 630-787-3164          
TRUST AIR CARGO (USA) CO,D20,"1360 NORTH WOOD DALE ROAD
UNIT 1
WOOD DALE, IL 60191
United States ",+1 630-350-2740          
VANTEC HITACHI TRANSPORT SYSTEM USA INC,FY1,"780 ARTHUR AVENUE
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-725-3215          
VINCENT L LEVITT,MR1,"2571 BUSSE ROAD
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-350-0541          
UTC OVERSEAS INC,WBA,"2526 LIVELY BOULEVARD
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-364-2461          
UNIVERSAL LOGISTICS SOLUTIONS INT'L INC,W24,"2500 WEST HIGGINS ROAD
SUITE 140
HOFFMAN ESTATES, IL 60195
United States ",+1 847-490-8811          
VANDEGRIFT FORWARDING COMPANY INC,316,"9700 WEST HIGGINS ROAD
ROSEMONT, IL 60018
United States ",+1 847-318-7800          
TOH INTERNATIONAL INC,274,"1510 MIDWAY COURT SUITE 2E
PO BOX 66526
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-806-9170          
UNITED STATES BROKERAGE INC,GL9,"745 BIRGINAL DRIVE
SUITE B
BENSENVILLE, IL 60106
United States ",+1 630-238-0500          
TRC CUSTOMS CLEARANCE INC,BSL,"400 BENNETT ROAD
ELK GROVE VILLAGE, IL 60007
United States ",+1 874-692-9404          
WESTWIND INTERNATIONAL INC,BJP,"85 DIVISION STREET
SUITE 102
BENSENVILLE, IL 60106
United States ",+1 630-422-4020          
WILLIAM L CRAIN,BGS,"1210 WEST EUCLID AVENUE
ARLINGTON HTS., IL 60005
United States ",+1 630-694-0961          
YUSEN LOGISTICS AMERICAS INC,286,"1001 NORTH MITTEL DRIVE
WOOD DALE, IL 60191
United States ",+1 630-350-1740          
WJ BENKLER ICN,EJY,"570 EAST HIGGINS ROAD
SUITE 103
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-594-8899          
WESTERN OVERSEAS CORPORATION,906,"2420 EAST OAKTON STREET
UNIT G
ARLINGTON HTS., IL 60005
United States ",+1 847-981-9050          
WILLIAM A MCGINTY CO,106,"2300 EAST HIGGINS ROAD
SUITE 104
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-427-0980          
WORLD COMMERCE SERVICES LLC,BEA,"920 EAST ALGONQUIN ROAD
SUITE 120
SCHAUMBURG, IL 60173
United States ",+1 224-653-2800          
WORLDWIDE LOGISTIC PARTNERS INC,EJ4,"1540 CARLEMONT DRIVE
SUITE J
CRYSTAL LAKE, IL 60014
United States ",+1 815-788-1683          
YAMATO TRANSPORT USA INC,AJR,"920 NORTH DILLON DRIVE
WOOD DALE, IL 60191
United States ",+1 630-595-8114          
WORLD EXPRESS SHIPPING TRANSPORTATION AND FORWARDING SERVICES INC DBA WEST FORWARDING SVCS,EP8,"755 ROUTE 83
SUITE 203
BENSENVILLE, IL 60106
United States ",+1 630-787-0350          
