Name,Cell No,Tel No,Fax,Email,Website,Address
"Dealer Consultant Services, LLC",,1-869-469-7292,,info@jhtlawfim.com,,"Ronald Depiero
922 Indian Mound Drive, McMinnville, TN 37110
or Jackie Hunkins-Taylor
P.O. Box 355 Hunkins Plaza
Charlestown, Nevis
"
"Fidelis Management, Inc.",,1 (869) 762-3667,,fidelis.management@yahoo.com,,"Tressetta I. Prentice
Managing Director
P O Box 711
Hermitage
St. John’s Parish
Nevis, W.I
"
Hyperion Insurance Management (Nevis) Limited,,1 (284) 494-7065,1 (284) 494-8356,simon.owen@hyperion-risk.com,www.hyperion-risk.com,"Mr. Simon Owen
Insurance Director
Folio House, P.O. Box 800
Road Town
Tortola, VG1110
"
"Occidental Insurance Management, LLC",,1 (302) 655-9505,1 (302) 655-5105,,,"Lee Peplinski
615 West 18th Street
Wilmington
Delaware 19802
USA
"
"Risk Management Advisors, Inc",,1 (562) 472-2846,1 (562) 435-7886,jbeck@riskmgmtadvisors.com,www.riskmgmtadvisors.com,"Mr. Jarid S. Beck, ACI
2040 Main Street, Suite 450
Irvine, CA 92614
Website: www.takencaptive.com
"
RMC Consultants Ltd,,1 (239) 298-8210,,rankner@cjamarketing.com,,"Mr Raymond Ankner
RMC Consultants Ltd
Hunkins Water Front Jewels
Charlestown
Nevis
Email: rmitchell@cjamarketing.com
"
Spectrum Management & Consulting Ltd.,1 (869) 662-9020,1 (869) 469-5501,1 (869) 469-5502,spectrum869@gmail.com,,"Mr. Keith Glasgow
Spectrum Management and Consulting Ltd
A.L. Evelyn Ltd. Building
Suite 1, P.O. Box 258
Main Street, Charlestown
Nevis, West Indies
"
Advance Caribbean Nevis Ltd,,(869) 469-6678,,justin.moses@advancecaribbean.com,,"Mr. Justin Moses
Suite #10, Henville Building
Charlestown
Nevis
Tel: (869) 662-3402
"
Easy Money Transfer Ltd,,1-869-469-3325,,easymoneynevis@gmail.com,,"Lien Allen
R. G. Solomon Arcade
Unit #3, Main Street
Charlestown
Nevis
"
Fast Cash (Nevis) Ltd,(869) 662-6112,(869) 466-2620 ext 1332,,amartin@fastcash.kn,,"Ms. Anesta Martin
Unit # 9
R. G. Solomon Arcade
Charlestown
Nevis
"
Fidelity Management Ltd (Money Gram),,1-869-469-5007,,dhobson@hobsonenterprises.com,,"Mr Damion Hobson
Midtown Building
Main Street, Charlestown
"
GraceKennedy Money Services (St. Kitts-Nevis) Limited,,1-869-469-1064,,,,"Stuart Jeffers/Rene Smithen
Western Union
RSJ Enterprises
St. John’s Parish
Nevis
"
Unicomer (St.Kitts and Nevis) Ltd,,1-869-469-1843/662-4894,,Trudy_Lewis-Allen@unicomer.com,,"Mrs Trudy Lewis Allen
Stoney Grove
Nevis
"
Sun Bank International Ltd,,1(869) 669-2763,,info@sunbank.kn,www.sunbank.kn,"P.O. Box 145
North Shore Estate
St. George’s Parish
Nevis
"
Bank of Nevis International Ltd. (LICENSED WITH CONDITIONS),,1-(869) 469-7770,1-(869) 469-5798,ops@boniltd.com,www.boniltd.com,"P.O. Box 937
Island Main Road
Nelson Spring
St Thomas Parish
Nevis
"
Hamilton Reserve Bank Ltd,,1 (869) 469 8889 / 1 (869) 662 8807,,info@hrbank.com,www.hrbank.com,"Hamilton Reserve Bank Plaza
P O Box 174, Jessups Estate
St. Thomas’ Parish
Nevis
"
International Merchant Bank Limited,,1 (869) 469-4625/4626,,info@imbltd.com,www.imbltd.com,"JHT Executive Suites
Suite 3, Stoney Grove Commercial Development
St. John’s Parish, Nevis
"
AAA Global Incorporation and Trust Inc.,,1 (869) 469-5500,,info@trustaaa.com,www.trustaaa.com,"Jessups
Jessups Estate
P O Box 590
Nevis
Mobile: 1 (869) 662-5602
"
Acme Trust Services Limited,869-663-4899,869-469-2263,869-469-2260,info@acmetrustnevis.com,www.acmetrustnevis.com,"Jessica C. Boncamper
Managing Director
Acme Trust Services Limited
Huggins House
Old Manor Estate
Gingerland, Nevis
Int’l: 904-469-2250
"
Andre & Associates,,1(869) 469-5176/ 668-9744,1(869) 469-5178,gillian.andre@gmail.com,,"Gillian Andre
P.O. Box 1057
Upper Prince William Street
Charlestown, Nevis
"
Apex Capital Partners Limited,,(869)465-1033,,nkatz@apexcap.org,www.apexcap.org,"Mr. Nuri Katz
Manager
P.O. Box 1069
27 Paradise
Saint Thomas Parish, Nevis
E-mail: owilliams@apexcap.org
"
Asiaciti Trust Nevis Ltd,,,,nevis@asiaciti.com,www.asiaciti.com,"Ms. Tine Ponia
Hunkins Plaza
Main Street
Charlestown
Nevis
"
Bolder Corporate Services (Nevis) Limited.,,1(869) 469-2676/0599,,nevis@boldergroup.com,www.boldergroup.com,"Mr. Kenley Maynard
Manager
Hunkins Waterfront Jewels
PO Box 733
Charlestown
Nevis
"
Bank of Nevis International Trust Services Inc. (BONITS) (LICENSED WITH CONDITIONS),,1(869) 469-7770,1(869) 469-5798,ptw@boniltd.com,,"Paula Wallace, Manager
P.O. Box 937,
Island Main Road
Nelson Spring
St Thomas Parish
Nevis, West Indies
"
"Business Services (Nevis), Ltd.",1 (869) 662-3965,1 (869) 469-0606/0607,,busservnevltd@gmail.com,,"Morrice Tyrell MBA, M.Acc, Managing Director
Hermitage (P.O.Box 724)
St.John’s, Nevis
West Indies
"
Claxton Whittaker & Associates,1 (869) 662-5602,1 (869) 469-0292,,info@cwa.nevis.kn,www.cwa.nevis.kn,"Diana Claxton-Whittaker
Attorney-at-Law
The Provident House
Government Road
P.O. Box 175
Charlestown, Nevis
"
Cozier & Associates,,869 469 1634,869 469 0834,info@cozierlaw.com,www.cozierlaw.com,"c/o Mr. Dwight Cozier
Primrose Building
Ramsbury Road
Charlestown, Nevis
West Indies
"
CSL Global Services Inc.,1-869-662-4142,1-869-469-4142,,,,"Shawna Lake
Nelson Springs Business Complex
Nelson Springs, Nevis
"
Daniel Brantley,,1 (869) 469-5259,1 (869) 469-1162,elizabeth.harper@danielbrantley.com,www.danielbrantley.com,"Attorneys-at-Law & Notary Public
Attn: Elizabeth A. Harper
Juris Building
Main Street
P.O. Box 480
Charlestown, Nevis
"
Dahlia Joseph Rowe,1-869-762-1015,1-869-469-1015,,info@josephrowelaw.com,www.josephrowelaw.com,"Joseph Rowe
Managing Partner
Attorneys-at-Law
Unit #5, Long Stone House
PO Box 1200, Main Street
Charlestown
Nevis
"
Dash and Associates,,1 (869) 469-1600,1 (869) 469-1604,jan@dashattorneys.com,www.dashattorneys.com,"Jan Dash, Esq., L.E.C., TEP
Attorneys-at-law
P.O. Box 1069
27 Paradise
St. Thomas’ Parish
Nevis
"
Despen Trust Ltd,,1(869) 469-1016,1(869) 469-0826,dbowrin@despentrust.com,www.despentrust.com,"Mr. Dexter Bowrin, Manager
P.O. Box 625
Midtown Building
Main Street, Charlestown
Nevis
"
Dixcart Management Nevis Limited,,1(869) 469-2829,1(869) 469-6509,beth.lecheminant@dixcart.com,www.dixcart.com,"Beth Le Cheminant, Managing Director
P.O. Box 598
Dixcart House, Fort Charles
Nevis, West Indies
"
Dover Corporate Services Ltd,,1 (869) 762-6999,,nevis@dovercorporate.com,,"Ernie Dover, Managing Director
Diamond 1, Carino Development
PO Box 1211
Hamilton Estate
Nevis
"
EC Holdings Ltd.,,1 (869) 469-5501,,telbert@ec-holdings.com,,"Dr. Telbert Glasgow
EC Holdings Ltd.
A.L. Evelyn Ltd. Building
Suite 1, P.O. Box 258
Main Street, Charlestown
Nevis, West Indies
"
Equity Management & Accountancy Corporation,,1 (869) 469-7924,1 (869) 469-7925,emac@sisterisles.kn,,"Mr. Frank Evelyn, CPA
P.O. Box 872
Arthur Evelyn Building
Suite 4
Charlestown
Nevis
"
First Nevis Trust Company Limited,,1 (869) 469-8000,1 (869) 469-8880,information@firstnevis.com,www.firstnevistrustcompany.com,"Raymond McDowall
First Nevis Trust Company Limited
Units 6 & 7
Temple Building, Main Street
P. O. Box 257
Charlestown, Nevis
Email: rmcdowall@firstanguilla.com
"
Fidelis Management Inc,,,,,,"Elystra Prentice
"
Fortress Trust Ltd,,1 (869) 664 3678,1 (869) 469 7018,service@fortress-trust.com,www.fortress-trust.com,"Suite 2B
Hunkins Plaza
Charlestown, Nevis
"
Gibraltar Trust Co. Ltd,,1 (869) 469-7144,1 (869) 466-3854,info@gibraltartrustcompany.com,www.gibraltartrustcompany.com,"Ms. Jacqueline Howell
Managing Director
P.O. Box 237
Bldg. #1,
Nelson Spring Business Complex
Nelson Spring, Nevis, West Indies
"
Giselle Clarke,,1(869) 469-7016,1(869) 469-7017,gaclarke@sisterisles.kn,,"Barrister-at-Law & Solicitors
Chambers, Springates Building
Government Road
P.O. Box 83
Charlestown, Nevis
"
Global Management and Consultancy Corporation Ltd,,1 (869) 469-8555,1 (869) 469-8558,gmcc@sisterisles.kn,www.gmcclaw.com,"Mr. Gregory Hardtman
Manager
P.O. Box 731
Hanley’s Road
Gingerland, Nevis
"
Hamilton Trust Company (Nevis) Ltd.,,1 (869) 469-1100/1106,1 (869) 469-1101,mail@htlnevis.com,www.htlnevis.com,"Mr. Chris Morton
Director
P.O. Box 583
Morton House
Government Road
Charlestown, Nevis
"
Jennifer Harding-Marlin,,,,,,"Ms. Jennifer Harding-Marlin
JH Marlin
Oualie Realty Building
Island Main Road
Oualie Beach
Nevis
"
JHT Law Firm,,1 869-469-7292,1 869-469-7018,info@jhtlawfirm.com,www.jhtlawfirm.com,"Jackie Hunkins
Attorney-at-Law
P.O.Box 355
Hunkins Plaza, Main Street
Charlestown, Nevis
"
Julien Prevost,,1 (869) 469-1825,,wendy.morton@goccp.com,,"Barrister-at-law
C/O Wendy Morton
Office Manager
P O Box 426, Corner of Jews Sreet and Marion Avenue
Ramsbury Site
Charlestown
West Indies
Email: julien.prevost@connect.dm
Email: mr.julienprevost@hotmail.com
"
Larkland M. Richards,,1 (869) 469-4696,1 (869) 469-4697,lmrichards@sisterisles.kn,,"Juris Building
P.O. Box 807
Main Street, Charlestown
Nevis
"
LiburdLaw,,,,,,"Krysta Liburd-Clarke
"
Lighthouse Trust Nevis Ltd,,1 (869) 469-5501,1 (869) 469-5502,telbert@lighthousetrust.ch,,"Dr. Telbert Glasgow
Lighthouse Trust Nevis Ltd
A.L. Evelyn Ltd. Building
Suite 1, P.O. Box 258
Main Street, Charlestown
Nevis, West Indies
"
Meridian Trust Company Limited,,1 869 469 1333,1 869 469 0968,twilliams@meridiantrustnevis.com,www.meridiannev.com,"Mrs. Tracey Williams-Morton
General Manager
Hunkins Plaza
Suite 556
Main Street
Charlestown
Nevis
"
Morning Star Holdings Limited,,1 (869) 469-1817,1 (869) 469-1794,twilliams@morningstarnevis.com,www.morningstarnev.com,"Mrs. Tracey Williams-Morton
General Manager
Hunkins Plaza
Suite 556
Main Street
Charlestown
Nevis
"
Morton Robinson L.P.,,1 (869) 469-MRLP (6757),,info@mortonrobinson.com,www.mortonrobinson.com,"Attention: Midge Morton & Maurisha Robinson
Attorneys-at-law, Trademark & Patent Agents, Notaries Public
Suites 6 & 7
Heritage Plaza
P. O. Box 430
Main Street
Charlestown, Nevis
"
Myrna Walwyn & Associates,,1 (869) 469-5645,1 (869) 469-1161,mwalwyn@nevislawyers.com,,"Myrna Walwyn
Lawyer
P.O. Box 84
Ste 16 & 17, Temple Chambers
Charlestown
Nevis
"
Nevis International Trust Co. Ltd.,,1 (869) 469-0079,1 (869) 469-5898,inttrust@sisterisles.kn,www.inttrust.com,"Ms. Carol Rawlins
P.O. Box 642
Hamilton Development
Nevis
"
Nisbetts' Law Chambers,,1 (869) 469-1913,1 (869) 469-5806,nisbetts@sisterisles.kn,,"Mr. Jeffrey Nisbett
Lawyer
P.O. Box 517
Main Street
Charlestown, Nevis
"
OMC Trust Company Limited,,1 (869) 469-7270/7271,1 (869) 469-7272,omcnevis@omcgroup.com,www.omcgroup.com,"Sandra Vasquez / Caroline Hobson-Barry
OMC Trust Company Limited
Suite 5 Horsford’s Business Centre
Long Point Road
Charlestown, Nevis
"
Oral Martin Law Chambers,,1 (869) 469-1819,1 (869) 469-5446,oralmartinlawchambers@gmail.com,,"Oral Martin
Upper Happy Hill Drive
Main Street
Charlestown, Nevis
"
PCG Trust Services Limited,,1 (869) 469-7270/7271,1 (869) 469-7272,omcnevis@omcgroup.com,www.omcgroup.com,"Sandra Vasquez / Caroline Hobson-Barry
PCG Trust Services Limited
Suite 5 Horsford’s Business Centre
Long Point Road
Charlestown, Nevis
"
Sarah Petre-Mears,,869 662 9681,,Offshore@sisterisles.kn,,"Que sera
Newcastle
St James Parish
Nevis
"
Southpac Trust Nevis Limited,,1(727) 474-1042,1(869) 469-0714,eglasford@southpactrust.com,www.southpactrust.com,"Mr. Elridge E. Glasford
Hunkins Plaza, Ste 22
P.O. Box 681
Main Street, Charlestown
Nevis, W.I.
Tel: 1(869) 469-1943
"
Spectrum Management & Consulting Ltd.,,1 (869) 469-5501,1 (869) 469-5502,spectrum869@gmail.com,,"Mr. Keith Glasgow
Spectrum Management and Consulting Ltd
A.L. Evelyn Ltd. Building
Suite 1, P.O. Box 258
Main Street, Charlestown
Nevis, West Indies
Mobile: 1 (869) 469-9020
"
S W Wong and Trinicaro Financial Limited,,,1 (869) 469-1385,roma@trinicaro.com,,"Mrs Roma Ali
Hamilton Cottage
Hamilton Estate
PO Box 917
Nevis
Tel/Email: info@trinicaro.com
"
Thales Limited,1 (869) 662-8425,1 (869) 469-8425,,contact@thaleslimited.com,www.thaleslimited.com,"Mr. Gabriel Rivoir
Director
R. G. Solomon Arcade
P.O. Box 1184
Main Street
Charlestown
Nevis
"
Theodore L. Hobson & Associate,,1 (869) 469-5314,1 (869) 469-1941,info@tlhobsonlaw.com,,"Barrister and Solicitor-at-Law
Mr. Theodore Hobson
P.O. Box 495
Main Street
Charlestown, Nevis
"
Allied Reinsurance Companies,,,,,,"
"
Captive Insurance Companies,,,,,,"
"
General & Reinsurance Companies,,,,,,"
"
General Insurance Companies,,,,,,"
"
Long Term Insurance Companies,,,,,,"
"
Reinsurance Companies,,,,,,"
"
Insurance Brokers,,,,,,"
"
