Component,Component URL,ISIN,Trading Location,Issuer Country
PROSUS,https://live.euronext.com/en/product/equities/NL0013654783-XAMS,NL0013654783,Euronext Amsterdam,Netherlands
PRYSMIAN,https://live.euronext.com/en/product/equities/IT0004176001-MTAA,IT0004176001,Euronext Milan,Italy
PUBLICIS GROUPE SA,https://live.euronext.com/en/product/equities/FR0000130577-XPAR,FR0000130577,Euronext Paris,France
RANDSTAD NV,https://live.euronext.com/en/product/equities/NL0000379121-XAMS,NL0000379121,Euronext Amsterdam,Netherlands
RENAULT,https://live.euronext.com/en/product/equities/FR0000131906-XPAR,FR0000131906,Euronext Paris,France
RYANAIR HOLD. PLC,https://live.euronext.com/en/product/equities/IE00BYTBXV33-XMSM,IE00BYTBXV33,Euronext Dublin,Ireland
SAFRAN,https://live.euronext.com/en/product/equities/FR0000073272-XPAR,FR0000073272,Euronext Paris,France
SAINT GOBAIN,https://live.euronext.com/en/product/equities/FR0000125007-XPAR,FR0000125007,Euronext Paris,France
SANOFI,https://live.euronext.com/en/product/equities/FR0000120578-XPAR,FR0000120578,Euronext Paris,France
SCHNEIDER ELECTRIC,https://live.euronext.com/en/product/equities/FR0000121972-XPAR,FR0000121972,Euronext Paris,France
SHELL PLC,https://live.euronext.com/en/product/equities/GB00BP6MXD84-XAMS,GB00BP6MXD84,Euronext Amsterdam,United Kingdom
SMURFIT KAPPA GP,https://live.euronext.com/en/product/equities/IE00B1RR8406-XMSM,IE00B1RR8406,Euronext Dublin,Ireland
SNAM,https://live.euronext.com/en/product/equities/IT0003153415-MTAA,IT0003153415,Euronext Milan,Italy
SOCIETE GENERALE,https://live.euronext.com/en/product/equities/FR0000130809-XPAR,FR0000130809,Euronext Paris,France
SODEXO,https://live.euronext.com/en/product/equities/FR0000121220-XPAR,FR0000121220,Euronext Paris,France
SOLVAY,https://live.euronext.com/en/product/equities/BE0003470755-XBRU,BE0003470755,Euronext Brussels,Belgium
STELLANTIS,https://live.euronext.com/en/product/equities/NL00150001Q9-MTAA,NL00150001Q9,Euronext Milan,Netherlands
STMICROELECTRONICS,https://live.euronext.com/en/product/equities/NL0000226223-XPAR,NL0000226223,Euronext Paris,Netherlands
TELENOR,https://live.euronext.com/en/product/equities/NO0010063308-XOSL,NO0010063308,Oslo Børs,Norway
TELEPERFORMANCE,https://live.euronext.com/en/product/equities/FR0000051807-XPAR,FR0000051807,Euronext Paris,France
TENARIS,https://live.euronext.com/en/product/equities/LU0156801721-MTAA,LU0156801721,Euronext Milan,Luxembourg
TERNA,https://live.euronext.com/en/product/equities/IT0003242622-MTAA,IT0003242622,Euronext Milan,Italy
THALES,https://live.euronext.com/en/product/equities/FR0000121329-XPAR,FR0000121329,Euronext Paris,France
TOTALENERGIES,https://live.euronext.com/en/product/equities/FR0000120271-XPAR,FR0000120271,Euronext Paris,France
UCB,https://live.euronext.com/en/product/equities/BE0003739530-XBRU,BE0003739530,Euronext Brussels,Belgium
UNICREDIT,https://live.euronext.com/en/product/equities/IT0005239360-MTAA,IT0005239360,Euronext Milan,Italy
UMG,https://live.euronext.com/en/product/equities/NL0015000IY2-XAMS,NL0015000IY2,Euronext Amsterdam,Netherlands
VEOLIA ENVIRON.,https://live.euronext.com/en/product/equities/FR0000124141-XPAR,FR0000124141,Euronext Paris,France
VINCI,https://live.euronext.com/en/product/equities/FR0000125486-XPAR,FR0000125486,Euronext Paris,France
VIVENDI SE,https://live.euronext.com/en/product/equities/FR0000127771-XPAR,FR0000127771,Euronext Paris,France
WOLTERS KLUWER,https://live.euronext.com/en/product/equities/NL0000395903-XAMS,NL0000395903,Euronext Amsterdam,Netherlands
WORLDLINE,https://live.euronext.com/en/product/equities/FR0011981968-XPAR,FR0011981968,Euronext Paris,France
YARA INTERNATIONAL,https://live.euronext.com/en/product/equities/NO0010208051-XOSL,NO0010208051,Oslo Børs,Norway
UNILEVER,,GB00B10RZP78,London Stock Exchange,United Kingdom
