Component,Component URL,ISIN,Trading Location,Issuer Country
VEOLIA ENVIRON.,https://live.euronext.com/en/product/equities/FR0000124141-XPAR,FR0000124141,Euronext Paris,France
VIVENDI SE,https://live.euronext.com/en/product/equities/FR0000127771-XPAR,FR0000127771,Euronext Paris,France
3I GROUP PLC,,GB00B1YW4409,London Stock Exchange,United Kingdom
ABB LTD,,CH0012221716,Swiss Exchange,Switzerland
ABRDN,,GB00BF8Q6K64,London Stock Exchange,United Kingdom
ACCIONA,,ES0125220311,Bolsa de Madrid,Spain
ADDTECH AB CLASS B,,SE0014781795,Stockholm Stock Exchange,Sweden
AENA SME,,ES0105046009,Bolsa de Madrid,Spain
ALFA LAVAL,,SE0000695876,Stockholm Stock Exchange,Sweden
AMADEUS IT GROUP,,ES0109067019,Bolsa de Madrid,Spain
ANGLO AMERICAN PLC,,GB00B1XZS820,London Stock Exchange,United Kingdom
ANTOFAGASTA PLC,,GB0000456144,London Stock Exchange,United Kingdom
AP MOELLER - MAERSK,,DK0010244508,Copenhaguen Stock Exchange,Denmark
ASSA ABLOY AB-B,,SE0007100581,Stockholm Stock Exchange,Sweden
ASTRAZENECA,,GB0009895292,London Stock Exchange,United Kingdom
BANCO SANTANDER CENT,,ES0113900J37,Bolsa de Madrid,Spain
BARCLAYS PLC,,GB0031348658,London Stock Exchange,United Kingdom
BARRATT DEVELOPMENTS,,GB0000811801,London Stock Exchange,United Kingdom
BAYER AG,,DE000BAY0017,Deutsche Boerse Xetra,Germany
BBVA,,ES0113211835,Bolsa de Madrid,Spain
BERKELEY GROUP HLD,,GB00BLJNXL82,London Stock Exchange,United Kingdom
BT GROUP PLC,,GB0030913577,London Stock Exchange,United Kingdom
BURBERRY GROUP,,GB0031743007,London Stock Exchange,United Kingdom
CARLSBERG A/S CL. B,,DK0010181759,Copenhaguen Stock Exchange,Denmark
CELLNEX TELECOM,,ES0105066007,Bolsa de Madrid,Spain
CHR HANSEN HOLDING,,DK0060227585,Copenhaguen Stock Exchange,Denmark
COCA-COLA HBC AG-CDI,,CH0198251305,London Stock Exchange,United Kingdom
CRODA INTERNATIONAL,,GB00BJFFLV09,London Stock Exchange,United Kingdom
DAIMLER TRUCK HLDNG,,DE000DTR0CK8,Deutsche Boerse Xetra,Germany
DEUTSCHE BOERSE AG,,DE0005810055,Deutsche Boerse Xetra,Germany
DHL GROUP,,DE0005552004,Deutsche Boerse Xetra,Germany
DIAGEO,,GB0002374006,London Stock Exchange,United Kingdom
DS SMITH,,GB0008220112,London Stock Exchange,United Kingdom
DSV A/S,,DK0060079531,Copenhaguen Stock Exchange,Denmark
ENAGAS,,ES0130960018,Bolsa de Madrid,Spain
ENTAIN PLC,,IM00B5VQMV65,London Stock Exchange,United Kingdom
EPIROC AB,,SE0015658109,Stockholm Stock Exchange,Sweden
ERICSSON B,,SE0000108656,Stockholm Stock Exchange,Sweden
ESSITY CLASS B,,SE0009922164,Stockholm Stock Exchange,Sweden
FRESENIUS SE & CO,,DE0005785604,Deutsche Boerse Xetra,Germany
GEA GROUP AG,,DE0006602006,Deutsche Boerse Xetra,Germany
GEBERIT AG REG.,,CH0030170408,Swiss Exchange,Switzerland
GIVAUDAN SA,,CH0010645932,Swiss Exchange,Switzerland
GRIFOLS SA,,ES0171996087,Bolsa de Madrid,Spain
HALMA PLC,,GB0004052071,London Stock Exchange,United Kingdom
HANNOVER RUECK SE,,DE0008402215,Deutsche Boerse Xetra,Germany
HELVETIA HOLDING,,CH0466642201,Swiss Exchange,Switzerland
HENNES & MAURITZ AB,,SE0000106270,Stockholm Stock Exchange,Sweden
HEXAGON AB-B,,SE0015961909,Stockholm Stock Exchange,Sweden
HOLCIM LTD,,CH0012214059,Swiss Exchange,Switzerland
HSBC HOLDINGS PLC,,GB0005405286,London Stock Exchange,United Kingdom
INDITEX,,ES0148396007,Bolsa de Madrid,Spain
INFINEON TECHNOLOGIE,,DE0006231004,Deutsche Boerse Xetra,Germany
INTERCONTINENTAL HTL,,GB00BHJYC057,London Stock Exchange,United Kingdom
INTERMEDIATE CAPITAL,,GB00BYT1DJ19,London Stock Exchange,United Kingdom
INTERTEK GROUP,,GB0031638363,London Stock Exchange,United Kingdom
INTL CONS AIRLINES,,ES0177542018,London Stock Exchange,United Kingdom
INVESTEC PLC,,GB00B17BBQ50,London Stock Exchange,United Kingdom
INVESTOR AB CLASS B,,SE0015811963,Stockholm Stock Exchange,Sweden
ITV,,GB0033986497,London Stock Exchange,United Kingdom
J SAINSBURY PLC,,GB00B019KW72,London Stock Exchange,United Kingdom
JOHNSON MATTHEY PLC,,GB00BZ4BQC70,London Stock Exchange,United Kingdom
JULIUS BAER GRUPPE,,CH0102484968,Swiss Exchange,Switzerland
KINGFISHER,,GB0033195214,London Stock Exchange,United Kingdom
KINNEVIK AB CLASS B,,SE0015810247,Stockholm Stock Exchange,Sweden
KNORR-BREMSE AG,,DE000KBX1006,Deutsche Boerse Xetra,Germany
KONE OYJ,,FI0009013403,Helsinki Stock Exchange.,Finland
LAND SECURITIES,,GB00BYW0PQ60,London Stock Exchange,United Kingdom
LANXESS AG,,DE0005470405,Deutsche Boerse Xetra,Germany
LEG IMMOBILIEN SE,,DE000LEG1110,Deutsche Boerse Xetra,Germany
LEGAL AND GENERAL,,GB0005603997,London Stock Exchange,United Kingdom
LLOYDS BANKING GROUP,,GB0008706128,London Stock Exchange,United Kingdom
LOGITECH INTL SA,,CH0025751329,Swiss Exchange,Switzerland
LONDON STOCK EXCHANG,,GB00B0SWJX34,London Stock Exchange,United Kingdom
MONDI PLC,,GB00B1CRLC47,London Stock Exchange,United Kingdom
NESTE OIL OYJ,,FI0009013296,Helsinki Stock Exchange.,Finland
NESTLE SA,,CH0038863350,Swiss Exchange,Switzerland
NOKIA,,FI0009000681,Helsinki Stock Exchange.,Finland
NORDEA BANK ABP,,FI4000297767,Helsinki Stock Exchange.,Finland
NOVARTIS,,CH0012005267,Swiss Exchange,Switzerland
NOVO NORDISK A/S,,DK0060534915,Copenhaguen Stock Exchange,Denmark
NOVOZYMES,,DK0060336014,Copenhaguen Stock Exchange,Denmark
OMV AG,,AT0000743059,Wiener Boerse,Austria
ORION OYJ CLASS B,,FI0009014377,Helsinki Stock Exchange.,Finland
ORSTED,,DK0060094928,Copenhaguen Stock Exchange,Denmark
PARTNERS GROUP HLDG,,CH0024608827,Swiss Exchange,Switzerland
PERSIMMON,,GB0006825383,London Stock Exchange,United Kingdom
PHOENIX GROUP,,GB00BGXQNP29,London Stock Exchange,United Kingdom
PORSCHE AG,,DE000PAG9113,Deutsche Boerse Xetra,Germany
PRUDENTIAL PLC,,GB0007099541,London Stock Exchange,United Kingdom
PUMA,,DE0006969603,Deutsche Boerse Xetra,Germany
REDEIA CORP,,ES0173093024,Bolsa de Madrid,Spain
SAP,,DE0007164600,Deutsche Boerse Xetra,Germany
SCHINDLER HLDG AG,,CH0024638196,Swiss Exchange,Switzerland
SEGRO,,GB00B5ZN1N88,London Stock Exchange,United Kingdom
SEVERN TRENT,,GB00B1FH8J72,London Stock Exchange,United Kingdom
SFS GROUP AG,,CH0239229302,Swiss Exchange,Switzerland
SGS,,CH1256740924,Swiss Exchange,Switzerland
SIEMENS AG,,DE0007236101,Deutsche Boerse Xetra,Germany
SIEMENS ENERGY AG,,DE000ENER6Y0,Deutsche Boerse Xetra,Germany
SIEMENS HEALTHINEERS,,DE000SHL1006,Deutsche Boerse Xetra,Germany
SIG GROUP AG,,CH0435377954,Swiss Exchange,Switzerland
SIKA AG,,CH0418792922,Swiss Exchange,Switzerland
SKANSKA AB,,SE0000113250,Stockholm Stock Exchange,Sweden
SONOVA HOLDING AG,,CH0012549785,Swiss Exchange,Switzerland
SPECTRIS PLC,,GB0003308607,London Stock Exchange,United Kingdom
SPIRAX-SARCO ENG PLC,,GB00BWFGQN14,London Stock Exchange,United Kingdom
ST JAMES''S PLACE,,GB0007669376,London Stock Exchange,United Kingdom
STORA ENSO OYJ,,FI0009005961,Helsinki Stock Exchange.,Finland
SVENSKA CELLULOSA B,,SE0000112724,Stockholm Stock Exchange,Sweden
SVENSKA HANDELSBNKEN,,SE0007100599,Stockholm Stock Exchange,Sweden
SWISS LIFE HOLDING,,CH0014852781,Swiss Exchange,Switzerland
SWISS RE AG,,CH0126881561,Swiss Exchange,Switzerland
SYMRISE AG,,DE000SYM9999,Deutsche Boerse Xetra,Germany
TAYLOR WIMPEY PLC,,GB0008782301,London Stock Exchange,United Kingdom
TECAN GROUP AG,,CH0012100191,Swiss Exchange,Switzerland
TELEFONICA,,ES0178430E18,Bolsa de Madrid,Spain
THYSSENKRUPP AG,,DE0007500001,Deutsche Boerse Xetra,Germany
TRELLEBORG AB,,SE0000114837,Stockholm Stock Exchange,Sweden
UBS GROUP,,CH0244767585,Swiss Exchange,Switzerland
UPM-KYMMENE OYJ,,FI0009005987,Helsinki Stock Exchange.,Finland
VALMET,,FI4000074984,Helsinki Stock Exchange.,Finland
VERBUND AG,,AT0000746409,Wiener Boerse,Austria
VESTAS WIND SYSTEMS,,DK0061539921,Copenhaguen Stock Exchange,Denmark
VODAFONE GROUP,,GB00BH4HKS39,London Stock Exchange,United Kingdom
VOLKSWAGEN PREF,,DE0007664039,Deutsche Boerse Xetra,Germany
VONOVIA SE,,DE000A1ML7J1,Deutsche Boerse Xetra,Germany
WARTSILA OYJ ABP,,FI0009003727,Helsinki Stock Exchange.,Finland
WHITBREAD,,GB00B1KJJ408,London Stock Exchange,United Kingdom
WPP,,JE00B8KF9B49,London Stock Exchange,United Kingdom
ZALANDO SE,,DE000ZAL1111,Deutsche Boerse Xetra,Germany
ZURICH INSURANCE AG,,CH0011075394,Swiss Exchange,Switzerland
