position,Surname/Firstname,Contact,Unit
Ərazi idarəetmə və yerli özünüidarəetmə orqanları ilə iş  şöbəsinin müdiri,"Mustafayev Rasim
Yaqub oğlu",305-30-69,Ərazi idarəetmə və yerli özünüidarəetmə orqanları ilə iş şöbəsi
Ərazi idarəetmə və yerli özünüidarəetmə orqanları ilə iş  şöbəsinin baş məsləhətçi,"Ramazanov Rəşad
Tofiq oğlu",,Ərazi idarəetmə və yerli özünüidarəetmə orqanları ilə iş şöbəsi
Ərazi idarəetmə və yerli özünüidarəetmə orqanları ilə iş  şöbəsinin baş məsləhətçi,"Namazov Surac
Mübariz oğlu",,Ərazi idarəetmə və yerli özünüidarəetmə orqanları ilə iş şöbəsi
Ərazi idarəetmə və yerli özünüidarəetmə orqanları ilə iş  şöbəsinin böyük məsləhətçi,"Məmmədov Mehrab
Cəlil oğlu",,Ərazi idarəetmə və yerli özünüidarəetmə orqanları ilə iş şöbəsi
Hüquq şöbəsinin müdiri,"İsmayılov Ruslan
Akif oğlu",305-34-70,Hüquq şöbəsi
Hüquq şöbəsinin məsləhətçi,"Əhmədov Fariz
Mobil oğlu",,Hüquq şöbəsi
İctimai-siyasi və humanitar məsələlər şöbəsi müdirinin          müavini - Dini qurumlarla işin təşkilatçısı,"Hacıyev Ruhid
Nizami oğlu",,İctimai-siyasi və humanitar məsələlər şöbəsi
İctimai-siyasi və humanitar məsələlər şöbəsinin                        baş məsləhətçi,"Əliyev Gündüz
Elxan oğlu",,İctimai-siyasi və humanitar məsələlər şöbəsi
İctimai-siyasi və humanitar məsələlər şöbəsinin                        baş məsləhətçi,"Qasımova Gülçin
Elçin qızı",,İctimai-siyasi və humanitar məsələlər şöbəsi
İctimai-siyasi və humanitar məsələlər şöbəsinin                        baş məsləhətçi,"Məmmədova Turanə
Nurəddin qızı",,İctimai-siyasi və humanitar məsələlər şöbəsi
Sosial-iqtisadi inkişafın təhlili və proqnozlaşdırılması şöbəsinin  müdirinin müavini,"Quliyev Rauf
Rasim oğlu",,Sosial-iqtisadi inkişafın təhlili və proqnozlaşdırılması şöbəsi
Sosial-iqtisadi inkişafın təhlili və proqnozlaşdırılması şöbəsinin  baş məsləhətçi,"Şükürlü Fərid
Ayaz oğlu",,Sosial-iqtisadi inkişafın təhlili və proqnozlaşdırılması şöbəsi
Sosial-iqtisadi inkişafın təhlili və proqnozlaşdırılması şöbəsinin  aparıcı məsləhətçi,"Namazov Faiq
Hamlet oğlu",,Sosial-iqtisadi inkişafın təhlili və proqnozlaşdırılması şöbəsi
Sosial-iqtisadi inkişafın təhlili və proqnozlaşdırılması şöbəsinin  baş məsləhətçi,"Ənvərli Nurlan
Vüqar oğlu",,Sosial-iqtisadi inkişafın təhlili və proqnozlaşdırılması şöbəsi
Sosial-iqtisadi inkişafın təhlili və proqnozlaşdırılması şöbəsinin  baş  məsləhətçi,"Hacıyev Teymur
Vaqif oğlu",,Sosial-iqtisadi inkişafın təhlili və proqnozlaşdırılması şöbəsi
Vətən müharibəsi iştirakçıları və şəhid ailələri ilə işin təşkili şöbəsinin müdiri,"Namazov Sərdar
Qurban oğlu",,Vətən müharibəsi iştirakçıları və şəhid ailələri ilə işin təşkili şöbəsi
Vətən müharibəsi iştirakçıları və şəhid ailələri ilə işin təşkili şöbəsinin böyük məsləhətçisi,"Musayev İlkin
Fikrət oğlu",,Vətən müharibəsi iştirakçıları və şəhid ailələri ilə işin təşkili şöbəsi
Memarlıq və tikinti şöbəsinin müdiri-baş memar,"Quliyev İlqar
Nəsrəddin oğlu",305-34-30,Memarlıq və tikinti şöbəsi
Memarlıq və tikinti şöbəsinin böyük məsləhətçisi (mühəndis),"Hüseynov Araz
Fərman oğlu",,Memarlıq və tikinti şöbəsi
Memarlıq və tikinti şöbəsinin aparıcı məsləhətçisi (mühəndis),"Yahyayev Tural
Yaqub oğlu",,Memarlıq və tikinti şöbəsi
Sənədlərlə və vətəndaşların müraciətləri ilə iş şöbəsinin müdiri,"Seyidov Elgün
Sahib oğlu",305-33-63,Sənədlərlə və vətəndaşların müraciətləri ilə iş şöbəsi
Sənədlərlə və vətəndaşların müraciətləri ilə iş şöbəsində  məsləhətçi (kadrlar üzrə işin aparıcısı),"Rəfiyeva Günay
Miraslan qızı",305-32-91,Sənədlərlə və vətəndaşların müraciətləri ilə iş şöbəsi
Sənədlərlə və vətəndaşların müraciətləri ilə iş şöbəsində  məsləhətçi,"İbrahimova Günel
Ruslan qızı",,Sənədlərlə və vətəndaşların müraciətləri ilə iş şöbəsi
Sənədlərlə və vətəndaşların müraciətləri ilə iş şöbəsində  məsləhətçi,"Tağıyev Nicat
Nizami oğlu",,Sənədlərlə və vətəndaşların müraciətləri ilə iş şöbəsi
Komendat,"Məmmədov Ramin
Cəbrayıl oğlu",,Texniki heyət
Baş mütəxəssis-sürücü,"İbrahimov Vüsal
Xaliq oğlu",,Texniki heyət
Baş mütəxəssis-sürücü,,,Texniki heyət
Baş mütəxəssis-sürücü,"Ələkbərov Elşən
İsrafil oğlu",,Texniki heyət
Baş mütəxəssis,"Əliyeva Rəhimə
Yalçın qızı",,Texniki heyət
Xadimə,"İsmayılova Zinhar
Abbasəli qızı",,Texniki heyət
Xadimə,"Yavəri Sənayə
Əli qızı",,Texniki heyət
