Date,Topic,Description,URL
17.10.2019,"Niðurstaða um brot Orkuveitu
Reykjavíkur á 126. gr. laga nr. 108/2007 um verðbréfaviðskipti","
Hinn 4. október 2019 komst
Fjármálaeftirlitið að þeirri niðurstöðu að Orkuveita Reykjavíkur hefði brotið
gegn 3. ml. 1. mgr. 126. gr. laga nr. 108/2007 um verðbréfaviðskipti (vvl.) þar
sem Orkuveita Reykjavíkur tilkynnti Fjármálaeftirlitinu ekki samdægurs um að
hafa lánað viðskiptavaka skuldabréf útgefin af félaginu (svokölluð
verðbréfalán). Um var að ræða tvö verðbréfalán til viðskiptavaka á tímabilinu
7. mars 2018 til 7. mars 2019.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-um-brot-orkuveitu-reykjavikur-a-126.-gr.-laga-nr.-108-2007-um-verdbrefavidskipti
2.10.2019,"Niðurstaða
könnunar- og matsferlis hjá Landsbankanum hf.","
Fjármálaeftirlitið leggur mat á áhættuþætti í
starfsemi fjármálafyrirtækja í könnunar- og matsferli (e. Supervisory Review
and Evaluation Process, SREP) og með hvaða hætti fjármálafyrirtæki meðhöndlar
þá í starfseminni, sbr. lög nr. 161/2002 um fjármálafyrirtæki. Hjá þeim
fjármálafyrirtækjum sem metin eru kerfislega mikilvæg fer slíkt mat fram
árlega.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-konnunar-og-matsferlis-hja-landsbankanum-hf.-1
2.10.2019,"Niðurstaða
könnunar- og matsferlis hjá Íslandsbanka hf.","
Fjármálaeftirlitið
leggur mat á áhættuþætti í starfsemi fjármálafyrirtækja í könnunar- og
matsferli (e. Supervisory Review and Evaluation Process, SREP) og með hvaða
hætti fjármálafyrirtæki meðhöndlar þá í starfseminni, sbr. lög nr. 161/2002 um
fjármálafyrirtæki. Hjá þeim fjármálafyrirtækjum sem metin eru kerfislega
mikilvæg fer slíkt mat fram árlega.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-konnunar-og-matsferlis-hja-islandsbanka-hf.-1
2.10.2019,"Niðurstaða
könnunar- og matsferlis hjá Arion banka hf.","
Fjármálaeftirlitið
leggur mat á áhættuþætti í starfsemi fjármálafyrirtækja í könnunar- og
matsferli (e. Supervisory Review and Evaluation Process, SREP) og með hvaða
hætti fjármálafyrirtæki meðhöndlar þá í starfseminni, sbr. lög nr. 161/2002 um
fjármálafyrirtæki. Hjá þeim fjármálafyrirtækjum sem metin eru kerfislega
mikilvæg fer slíkt mat fram árlega.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-konnunar-og-matsferlis-hja-arion-banka-hf.-1
2.10.2019,"Brot
fjárfestingarsjóðs í rekstri Júpíters rekstrarfélags hf. gegn 1. mgr. 39. gr.,
sbr. 1. mgr. 59. gr. laga nr. 128/2011","
Fjármálaeftirlitinu barst tilkynning frá Júpíter rekstrarfélagi hf. þann 8.
mars 2019 þess efnis að fjárfestingarsjóður í rekstri félagsins hefði farið út
fyrir fjárfestingarheimildir 1. mgr. 39. gr., sbr. 1. mgr. 59. gr. laga nr.
128/2011 um verðbréfasjóði, fjárfestingarsjóði og fagfjárfestasjóði þann 7.
mars 2019. Í 1. mgr. fyrrgreinds lagaákvæðis er tiltekið að fjárfestingarsjóðum
sé heimilt að fjárfesta í hlutdeildarskírteinum annarra verðbréfasjóða og
annarra sjóða um sameiginlega fjárfestingu. Þó er þeim ekki heimilt að binda meira
en 20% af eignum sínum í hlutdeildarskírteinum einstakra verðbréfasjóða eða
fjárfestingarsjóða. Brotið varð vegna misskilnings sjóðsstjóra og bakvinnslu.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/brot-fjarfestingarsjods-i-rekstri-jupiters-rekstrarfelags-hf.-gegn-1.-mgr.-35.-gr.-sbr.-1.-mgr.-59.-gr.-laga-nr.-128-2011
24.9.2019,"Niðurstaða
athugunar á innra eftirlitskerfi og stjórnarháttum Lífeyrissjóðs Vestmannaeyja","
Fjármálaeftirlitið framkvæmdi vettvangsathugun hjá Lífeyrissjóði
Vestmannaeyja í mars 2019. Niðurstaða lá fyrir í september 2019.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-innra-eftirlitskerfi-og-stjornarhattum-lifeyrissjods-vestmannaeyja
9.9.2019,"Samkomulag um sátt vegna brots Brims hf. á 1. mgr. 122.
gr. laga nr. 108/2007 um verðbréfaviðskipti","
Hinn 10. júlí 2019 gerðu Fjármálaeftirlitið og Brim hf. (áður HB Grandi hf.), hér eftir nefndur málsaðili, með sér samkomulag um að ljúka með sátt máli vegna brots á 1. mgr. 122. gr. laga nr. 108/2007 um verðbréfaviðskipti.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/samkomulag-um-satt-vegna-brots-brims-hf.-a-1.-mgr.-122.-gr.-laga-nr.-108-2007-um-verdbrefavidskipti
14.8.2019,"Niðurstaða um brot Landsbréfa hf. á
125. og 1. mgr. 126. gr. laga nr. 108/2007 um verðbréfaviðskipti","
Hinn 28.
júní 2019 komst Fjármálaeftirlitið að þeirri niðurstöðu að Landsbréf hf. hefðu
brotið gegn 125. og 1. mgr. 126. gr. laga nr. 108/2007 um verðbréfaviðskipti
(vvl.) með því að gæta ekki að rannsóknar- og tilkynningarskyldu sinni við
viðskipti milli sjóða innan Landsbréfa hf. 

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-um-brot-landsbrefa-hf.-a-125.-og-1.-mgr.-126.-gr.-laga-nr.-108-2007-um-verdbrefavidskipti
14.8.2019,"Niðurstaða
um brot Reykjavíkurborgar á 126. gr. laga nr. 108/2007 um verðbréfaviðskipti","
Hinn 28. júní 2019 komst Fjármálaeftirlitið að þeirri
niðurstöðu að Reykjavíkurborg hefði brotið gegn 3. ml. 1. mgr. 126. gr. laga
nr. 108/2007 um verðbréfaviðskipti (vvl.) þar sem Reykja­víkur­borg tilkynnti
Fjármálaeftirlitinu ekki samdægurs um að hafa lánað viðskiptavaka skuldabréf
útgefin af borginni (svokölluð verðbréfalán). Um var að ræða nokkurn fjölda
tilvika frá árinu  2009 og til 28. febrúar
2019. 

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-um-brot-reykjavikurborgar-a-126.-gr.-laga-nr.-108-2007-um-verdbrefavidskipti
12.7.2019,"Samkomulag um sátt vegna brota Eaton Vance Management á
1. mgr. 86. gr. laga nr. 108/2007 um verðbréfaviðskipti","
Hinn 25. mars 2019 gerðu Fjármálaeftirlitið og Eaton Vance
Management með sér samkomulag um að ljúka með sátt máli vegna brota á 1. mgr.
86. gr. laga nr. 108/2007 um verðbréfaviðskipti.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/samkomulag-um-satt-vegna-brota-eaton-vance-management-a-1.-mgr.-86.-gr.-laga-nr.-108-2007-um-verdbrefavidskipti
3.6.2019,"Niðurstaða
athugunar á aðgerðum gegn peningaþvætti og fjármögnun hryðjuverka hjá
líftryggingafélögum og vátryggingamiðlurum","
Fjármálaeftirlitið hóf athugun á aðgerðum gegn
peningaþvætti og fjármögnun hryðjuverka í nóvember 2018. Athugunin beindist að
líftryggingafélögum með starfsleyfi hér á landi auk vátryggingamiðlara sem
miðla áhættu- og söfnunarlíftryggingum með fjárfestingaráhættu. 

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-adgerdum-gegn-peningathvaetti-og-fjarmognun-hrydjuverka-hja-liftryggingafelogum-og-vatryggingamidlurum
29.5.2019,"Niðurstaða athugunar á aðgerðum Arion banka hf.
gegn peningaþvætti og fjármögnun hryðjuverka","
Fjármálaeftirlitið hóf athugun á aðgerðum gegn peningaþvætti og fjármögnun
hryðjuverka hjá Arion banka hf. með bréfi dagsettu 3. október 2018. 

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-adgerdum-arion-banka-hf.-gegn-peningathvaetti-og-fjarmognun-hrydjuverka
22.5.2019,"Samkomulag
um sátt vegna brota Eimskipafélags Íslands hf. á 1. mgr. 122. gr. laga nr.
108/2007 um verðbréfaviðskipti","
Hinn 5. apríl 2019
gerðu Fjármálaeftirlitið og Eimskipafélag Íslands hf., hér eftir nefndur
málsaðili, með sér samkomulag um að ljúka með sátt máli vegna brota á 1. mgr.
122. gr. laga nr. 108/2007 um verðbréfaviðskipti.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/samkomulag-um-satt-vegna-brota-eimskipafelags-islands-hf.-a-1.-mgr.-122.-gr.-laga-nr.-108-2007-um-verdbrefavidskipti
17.5.2019,"Niðurstaða
athugunar á undirbúningi og framkvæmd ákvörðunar um lánveitingu","
Fjármálaeftirlitið gerði athugun hjá Landsbankanum
hf. á undirbúningi og framkvæmd ákvörðunar um tiltekna lánveitingu. 

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-undirbuningi-og-framkvaemd-akvordunar-um-lanveitingu
17.5.2019,"Brot fjárfestingarsjóðs í rekstri
Júpíters rekstrarfélags hf. gegn 5. mgr. 59. gr. laga nr. 128/2011","
Fjármálaeftirlitinu barst tilkynning frá Júpíter rekstrarfélagi hf. þann
11. desember 2018 þess efnis að  fjárfestingarsjóður
í rekstri félagsins hefði farið út fyrir fjárfestingar­heimildir 59. gr. laga
nr. 128/2011 um verðbréfasjóði, fjárfestingarsjóði og fagfjárfestasjóði þann
10. desember 2018. Í 5. mgr. fyrrgreinds lagaákvæðis er tiltekið að
fjárfestingarsjóðum sé heimilt að fjárfesta án takmarkana í fjárfestingarsjóðum
en fjárfesting í sama fjárfestingasjóði megi ekki fara yfir 20% af eignum
fjárfestingarsjóðs. Brotið varð vegna mistaka við skráningu fjárfestingarinnar
í heimildaskjal áður en viðskiptin voru framkvæmd. 

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/brot-fjarfestingarsjods-i-rekstri-jupiters-rekstrarfelags-hf.-gegn-5.-mgr.-59.-gr.-laga-nr.-128-2011
17.5.2019,"Brot fjárfestingarsjóða í rekstri
Landsbréfa hf. gegn 1. mgr. 59. gr. laga nr. 128/2011","
Fjármálaeftirlitinu barst tilkynning frá Landsbréfum hf. þann 26. október
2018 þess efnis að tveir fjárfestingarsjóðir í rekstri félagsins hefðu farið út
fyrir fjárfestingarheimildir 1. mgr. 59. gr., sbr. 3. tölul. 40. gr. laga nr.
128/2011 um verðbréfasjóði, fjárfestingarsjóði og fagfjárfestasjóði þann 25.
október 2018. Samkvæmt framangreindum lagaákvæðum er fjárfestingarsjóðum
óheimilt að eignast meira en 25% af hlutdeildarskírteinum verðbréfasjóðs og
annarra sjóða um sameiginlega fjárfestingu.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/brot-fjarfestingarsjoda-i-rekstri-landsbrefa-hf.-gegn-1.-mgr.-59.-gr.-laga-nr.-128-2011
3.5.2019,"Niðurstaða
athugunar á eftirlitsaðgerðum tengdum lánaferli Landsbankans hf.","
Fjármálaeftirlitið hóf athugun í lok júnímánaðar
2018 á eftirlitsaðgerðum tengdum lánaferli Landsbankans hf. Meginmarkmið
athugunarinnar var að fá yfirsýn yfir verklag og verkferla sem snúa að
lánveitingum og eftirfylgni bankans með þeim. Jafnframt var kannað hvort
hlutverkaskipting væri skýr á milli varnarlína 1 og 2.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-eftirlitsadgerdum-tengdum-lanaferli-1-2
3.5.2019,"Niðurstaða
athugunar á eftirlitsaðgerðum tengdum lánaferli Íslandsbanka hf.","
Fjármálaeftirlitið hóf athugun í lok aprílmánaðar
2018 á eftirlitsaðgerðum tengdum lánaferli Íslandsbanka hf. Meginmarkmið
athugunarinnar var að fá yfirsýn yfir verklag og verkferla sem snúa að
lánveitingum og eftirfylgni bankans með þeim. Jafnframt var kannað hvort
hlutverkaskipting væri skýr á milli varnarlína 1 og 2.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-eftirlitsadgerdum-tengdum-lanaferli-1
3.5.2019,"Niðurstaða
athugunar á eftirlitsaðgerðum tengdum lánaferli Arion banka hf.","
Fjármálaeftirlitið hóf athugun í lok aprílmánaðar
2018 á eftirlitsaðgerðum tengdum lánaferli Arion banka hf. Meginmarkmið
athugunarinnar var að fá yfirsýn yfir verklag og verkferla sem snúa að
lánveitingum og eftirfylgni bankans með þeim. Jafnframt var kannað hvort
hlutverkaskipting væri skýr á milli varnarlína 1 og 2.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-eftirlitsadgerdum-tengdum-lanaferli
9.4.2019,"Niðurstaða um brot Lánasjóðs sveitarfélaga ohf. á
126. gr. laga nr. 108/2007 um verðbréfaviðskipti","
Hinn 18. mars 2019 komst Fjármálaeftirlitið að þeirri niðurstöðu
að Lánasjóður sveitarfélaga ohf. hefði brotið gegn 3. ml. 1. mgr. 126. gr. laga
nr. 108/2007 um verðbréfaviðskipti (vvl.) þar sem sjóðurinn tilkynnti
Fjármálaeftirlitinu ekki samdægurs um að hafa lánað viðskiptavaka skuldabréf
útgefin af sjóðnum (svokölluð verðbréfalán). Um var að ræða nokkurn fjölda
tilvika á tímabilinu 20. ágúst 2009 til 30. maí 2018. 

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-um-brot-lanasjods-sveitarfelaga-ohf.-a-126.-gr.-laga-nr.-108-2007-um-verdbrefavidskipti
5.4.2019,"Niðurstaða
athugunar á þarfagreiningu og varðveislu gagna hjá Tryggingum og ráðgjöf ehf.","
Fjármálaeftirlitið hóf
athugun í desember 2018 á þarfagreiningu og varðveislu gagna hjá Tryggingum og
ráðgjöf ehf., en Fjármálaeftirlitið hefur eftirlit með viðskiptaháttum
vátryggingamiðlara samkvæmt 1. mgr. 59. gr., sbr. 28. gr. laga nr. 32/2005 um
miðlun vátrygginga.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-tharfagreiningu-og-vardveislu-gagna-hja-tryggingum-og-radgjof-ehf.
5.4.2019,"Niðurstaða
athugunar á þarfagreiningu og varðveislu gagna hjá Nýju vátryggingaþjónustunni
ehf.","
Fjármálaeftirlitið hóf
athugun í desember 2018 á þarfagreiningu og varðveislu gagna hjá Nýju
vátryggingaþjónustunni ehf., en Fjármálaeftirlitið hefur eftirlit með viðskiptaháttum
vátryggingamiðlara samkvæmt 1. mgr. 59. gr., sbr. 28 gr. laga nr. 32/2005 um
miðlun vátrygginga.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-tharfagreiningu-og-vardveislu-gagna-hja-nyju-vatryggingathjonustunni-ehf.
5.4.2019,"Niðurstaða
athugunar á þarfagreiningu og varðveislu gagna hjá Tryggingamiðlun Íslands ehf.","
Fjármálaeftirlitið hóf
athugun í desember 2018 á þarfagreiningu og varðveislu gagna hjá
Tryggingamiðlun Íslands ehf., en Fjármálaeftirlitið hefur eftirlit með viðskiptaháttum
vátryggingamiðlara samkvæmt 1. mgr. 59. gr., sbr. 28 gr. laga nr. 32/2005 um
miðlun vátrygginga.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-tharfagreiningu-og-vardveislu-gagna-hja-tryggingamidlun-islands-ehf.
5.4.2019,"Niðurstaða
athugunar á þarfagreiningu og varðveislu gagna hjá Tryggja ehf.","
Fjármálaeftirlitið hóf
athugun í desember 2018 á þarfagreiningu og varðveislu gagna hjá Tryggja ehf.,
en Fjármálaeftirlitið hefur eftirlit með viðskiptaháttum vátryggingamiðlara samkvæmt
1. mgr. 59. gr., sbr. 28 gr. laga nr. 32/2005 um miðlun vátrygginga.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-tharfagreiningu-og-vardveislu-gagna-hja-tryggja-ehf.
20.3.2019,"Niðurstaða athugunar á þátttöku framkvæmdastjóra
fjármálafyrirtækis í atvinnurekstri","
Fjármálaeftirlitið tók til athugunar stjórnarsetu og þátttöku framkvæmdastjóra fjármálafyrirtækis í atvinnurekstri, sbr. 56. gr. laga nr. 161/2002 um fjármálafyrirtæki.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-thatttoku-framkvaemdastjora-fjarmalafyrirtaekis-i-atvinnurekstri
12.3.2019,"Niðurstaða athugunar á túlkun
skilmála og framkvæmd tjónsuppgjörs vegna fjölskyldutrygginga hjá Sjóvá – Almennum
tryggingum hf. og Vátryggingafélagi Íslands hf.","
Fjármálaeftirlitið hóf í október 2018 athugun á skilmálum
fjölskyldutrygginga og túlkun þeirra í tengslum við framkvæmd á tjónsuppgjöri
vegna reiðhjólaóhappa og slysa. Markmið athugunarinnar var að skoða sérstaklega
hvort framkvæmdin væri í samræmi við II. kafla laga nr. 30/2004 um
vátryggingasamninga, 9. gr. laga nr. 100/2016 um vátryggingastarfsemi og 4. gr.
reglna nr. 673/2017 um eðlilega og heilbrigða viðskiptahætti vátryggingafélaga. 

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-tulkun-skilmala-og-framkvaemd-tjonauppgjors-vegna-fjolskyldutrygginga-hja-sjova-almennum-tryggingum
22.2.2019,"Samkomulag um sátt vegna brots Landsbankans
hf. á 1. mgr. 78. gr. og 1. mgr. 86. gr. laga nr. 108/2007 um
verðbréfaviðskipti","
Hinn 21. desember 2018 gerðu Fjármálaeftirlitið og Landsbankinn hf., hér eftir nefndur málsaðili, með sér samkomulag um að ljúka með sátt máli vegna brota á 1. mgr. 78. gr. og 1. mgr. 86. gr. laga nr. 108/2007 um verðbréfaviðskipti (vvl.).

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/samkomulag-um-satt-vegna-brots-landsbankans-hf.-a-1.-mgr.-78.-gr.-og-1.-mgr.-86.-gr.-laga-nr.-108-2007-um-verdbrefavidsk
25.1.2019,"Niðurstaða athugunar á meðhöndlun
kvartana hjá Sjóvá-Almennum tryggingum hf.","
Fjármálaeftirlitið hóf í október 2018 athugun á
meðhöndlun kvartana hjá Sjóvá-Almennum tryggingum hf. Markmið athugunarinnar
var að skoða sérstaklega hvort framkvæmdin væri í samræmi við II. kafla reglna nr. 673/2017
um eðlilega og heilbrigða viðskiptahætti vátryggingafélaga, en þar er fjallað
um samskipti vátryggingafélaga við viðskiptavini og meðhöndlun kvartana.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-medhondlun-kvartana-hja-sjova-almennum-tryggingum-hf.
23.1.2019,"Niðurstaða
athugunar á tilkynningum Arion banka hf. um skortstöður til
Fjármálaeftirlitsins","
Með bréfi dagsettu 22. nóvember 2017 hóf Fjármálaeftirlitið athugun á
tilkynningum frá Arion banka hf. (Arion banki/bankinn) til Fjármálaeftirlitsins
um skortstöður á grundvelli reglugerðar Evrópuþingsins og ráðsins (ESB) nr.
236/2012 um skortsölu og tiltekna þætti skuldatrygginga (hér eftir
skortsölureglugerðin/reglugerðin) sem tók gildi hér á landi með lögum nr.
55/2017.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-tilkynningum-arion-banka-hf.-um-skortstodur-til-fjarmalaeftirlitsins
16.1.2019,"Niðurstaða athugunar á meðhöndlun
kvartana hjá Tryggingamiðstöðinni hf., Vátryggingafélagi Íslands hf. og Verði
tryggingum hf.","
Fjármálaeftirlitið hóf í október 2018 athugun á
meðhöndlun kvartana hjá ofangreindum vátryggingafélögum. Markmið athugunarinnar
var að skoða sérstaklega hvort framkvæmdin væri í samræmi við II. kafla reglna nr. 673/2017
um eðlilega og heilbrigða viðskiptahætti vátryggingafélaga, en þar er fjallað
um samskipti vátryggingafélaga við viðskiptavini og meðhöndlun kvartana. 

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-medhondlun-kvartana-hja-tryggingamidstodinni-hf.-vatryggingafelagi-islands-hf.-og-verdi-tryggingum-hf.
20.12.2018,"Niðurstaða
athugunar á verklagi við uppgjör á bótum vegna ökutækjatjóna hjá Tryggingamiðstöðinni","
Fjármálaeftirlitið hóf
athugun á uppgjöri Tryggingamiðstöðvarinnar á bótum vegna ökutækjatjóna þegar
um svokallað altjón er að ræða, en Fjármálaeftirlitið hefur eftirlit með
viðskiptaháttum vátryggingafélaga samkvæmt 10 gr. laga nr. 100/2016 um
vátryggingastarfsemi, þ.m.t. tjónsuppgjöri. Með altjóni er átt við að tjón á bifreið er
metið svo mikið að ekki sé skynsamlegt að framkvæma viðgerð á bifreiðinni,
heldur kaupir vátryggingarfélag þá bifreiðina af viðkomandi eiganda á
markaðsvirði hennar á tjónsdegi.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-verklagi-vid-uppgjor-a-botum-vegna-okutaekjatjona-hja-tryggingamidstodinni
20.12.2018,"Niðurstaða
athugunar á verklagi við uppgjör á bótum vegna ökutækjatjóna hjá Verði","
Fjármálaeftirlitið hóf
athugun á uppgjöri Varðar á bótum vegna ökutækjatjóna þegar um svokallað altjón
er að ræða, en Fjármálaeftirlitið hefur eftirlit með viðskiptaháttum
vátryggingafélaga samkvæmt 10 gr. laga nr. 100/2016 um vátryggingastarfsemi,
þ.m.t. tjónsuppgjöri. Með
altjóni er átt við að tjón á bifreið er metið svo mikið að ekki sé skynsamlegt
að framkvæma viðgerð á bifreiðinni, heldur kaupir vátryggingarfélag þá
bifreiðina af viðkomandi eiganda á markaðsvirði hennar á tjónsdegi.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-verklagi-vid-uppgjor-a-botum-vegna-okutaekjatjona-hja-verdi
